module,question,answer,keywords
programmes,"What types of undergraduate programmes does Xiamen University Malaysia (XMUM) offer?","XMUM offers a wide range of carefully designed undergraduate programmes spanning academic disciplines like business, communication, science, technology, arts and social sciences, energy and chemical engineering, marine sciences, computing and data science, artificial intelligence and robotics, mathematics and physics, and traditional Chinese medicine.","programmes, disciplines, fields, range"
programmes,"What specific programmes are offered under Economics and Management?","Under Economics and Management, XMUM offers Bachelor of Management in Accounting (Honours), Bachelor of Economics in Finance (Honours), Bachelor of Management in International Business (Honours), Bachelor of Management in E-Commerce (Honours), and Bachelor of Management in Hospitality Management (Honours).","Economics, Management, programmes, degrees"
programmes,"What specific programmes are offered under Communication?","Under Communication, XMUM offers Bachelor of Arts in Journalism (Honours), Bachelor of Arts in Advertising (Honours), and Bachelor of Arts in Communication (Honours).","Communication, Journalism, Advertising, Arts"
programmes,"What specific programmes are offered under Computing and Data Science?","Under Computing and Data Science, XMUM offers Bachelor of Engineering in Computer Science and Technology (Honours), Bachelor of Engineering in Software Engineering (Honours), Bachelor of Engineering in Digital Media Technology (Honours), Bachelor of Engineering in Cyber Security (Honours), and Bachelor of Engineering in Data Science (Honours).","Computing, Data Science, Engineering, Software"
programmes,"What specific programmes are offered under Artificial Intelligence and Robotics?","Under Artificial Intelligence and Robotics, XMUM offers Bachelor of Electrical and Electronics Engineering (Hons), Bachelor of Engineering in Artificial Intelligence (Honours), and Bachelor of Robotics and Automation Engineering with Honours.","AI, Robotics, Engineering, Electrical"
programmes,"How many methods are available to apply to XMUM?","There are three easy methods to apply to XMUM: Online Application, Email Application, and Paper Application.","application, methods, apply, enrollment"
programmes,"What is the application fee for XMUM?","The application fee for XMUM is RM100 and is non-refundable.","application, fee, cost, non-refundable"
programmes,"What is the registration fee for XMUM?","The registration fee for XMUM is RM200 and is non-refundable.","registration, fee, cost, non-refundable"
programmes,"What payment methods are accepted for fees at XMUM?","XMUM accepts Cash, Cheque or Bank Draft, Bank Transfer, and Flywire (for new international students).","payment, methods, fees, options"
programmes,"Who is the beneficiary for fee payments made via bank transfer?","The beneficiary for fee payments made via bank transfer is ""XMU JIAGENG EDUCATION DEVELOPMENT SDN BHD"".","beneficiary, payment, bank, transfer"
programmes,"What are the required supporting documents for application?","Required supporting documents include a certified copy of academic transcripts, a certified copy of diploma/certificate, NRIC (Malaysians) or passport (International), Scholarship & Grant Form (if applicable), and proof of fee payment.","documents, required, application, supporting"
programmes,"How can students apply for on-campus accommodation?","Students may apply for on-campus accommodation during the application process, with details provided in the official application materials.","accommodation, on-campus, apply, housing"
programmes,"Who should be contacted for admissions inquiries at XMUM?","For admissions inquiries, you can contact admissions@xmu.edu.my.","admissions, contact, email, inquiry"
programmes,"What is Flywire and who is it for?","Flywire is a service partnered with XMUM to streamline fee payments for international students, allowing them to pay in their home currency with benefits like online payment tracking, no bank fees, and 24/7 multilingual customer support.","Flywire, international, payments, fees"
programmes,"What are the payment amounts for new international students using Flywire?","New international students can pay Admin Fees (RM 3,068) or Admin Fees & Security Deposit (RM 4,068) using Flywire.","Flywire, international, fees, deposit"
programmes,"Where can I find more information about scholarships and financial aids?","More information about scholarships and financial aids can be found by visiting the ""Scholarships & Financial Aids"" section of the website.","scholarships, financial, aids, information"
