module,question,answer,keywords
foundation_student,"What is the standard duration of study for foundation programmes at XMUM?","The standard duration of study for foundation programmes at XMUM is one year or three semesters.","duration,study,foundation,programme,semesters"
foundation_student,"What is the maximum duration a student can spend to complete their foundation programme?","Students can spend up to a maximum of six semesters to complete their programme of study, allowing for extensions due to academic probation or repeating failed courses.","maximum duration,study,completion,semesters,probation"
foundation_student,"What undergraduate programmes can students pursue after completing the Foundation in Science (FIS)?","Upon completion of the Foundation in Science programme, students can pursue undergraduate programmes in marine science, traditional Chinese medicine, energy science, information and communication technology, applied mathematics, and engineering.","FIS,undergraduate,pathway,science,programmes"
foundation_student,"What are the entry requirements for the Foundation in Science (FIS) based on SPM/SPMV for Biological Science?","For Biological Science, SPM/SPMV holders need a credit or Grade C in 5 subjects including Mathematics and 2 science subjects, plus a pass in Bahasa Melayu and English.","FIS,entry requirements,SPM,Biological Science,mathematics,science"
foundation_student,"What are the entry requirements for the Foundation in Science (FIS) based on O-Level for Physical Science?","For Physical Science, O-Level holders need a credit or Grade C in 5 subjects including Mathematics and Physics, plus a pass in English.","FIS,entry requirements,O-Level,Physical Science,mathematics,physics"
foundation_student,"What are the entry requirements for the Foundation in Science (FIS) based on UEC for Traditional Chinese Medicine?","For Traditional Chinese Medicine, UEC holders need at least a Grade B in Mathematics and 2 science subjects, plus a pass in Bahasa Melayu and English.","FIS,entry requirements,UEC,Traditional Chinese Medicine,mathematics,science"
foundation_student,"What undergraduate programmes can students pursue after completing the Foundation in Arts and Social Science (FIA)?","Upon completion of the Foundation in Arts and Social Science programme, students can pursue undergraduate programmes in business, accounting, finance, journalism, advertising, and Chinese studies.","FIA,undergraduate,pathway,arts,social science"
foundation_student,"What are the entry requirements for the Foundation in Arts and Social Science (FIA) based on SPM/SPMV for Business Studies?","For Business Studies, SPM/SPMV holders need a credit or Grade C in 5 subjects including Mathematics and English.","FIA,entry requirements,SPM,Business Studies,mathematics,english"
foundation_student,"What are the entry requirements for the Foundation in Arts and Social Science (FIA) based on O-Level for Communication Studies?","For Communication Studies, O-Level holders need a credit or Grade C in 5 subjects including English.","FIA,entry requirements,O-Level,Communication Studies,english"
foundation_student,"What are the entry requirements for the Foundation in Arts and Social Science (FIA) based on UEC for Chinese Studies?","For Chinese Studies, UEC holders need at least a Grade B6 in 3 subjects including Chinese, plus a pass in English.","FIA,entry requirements,UEC,Chinese Studies,chinese,english"
foundation_student,"What undergraduate programmes can students pursue after completing the Foundation in Information Technology (FiIT)?","Upon completion of the Foundation in Information Technology programme, students can pursue undergraduate programmes in software engineering, cyber security, artificial intelligence, data science, digital media technology, and computer science and technology.","FiIT,undergraduate,pathway,information technology,programmes"
