module,question,answer,keywords
student_email,"When is the campus email address and initial password provided?", "The campus email address and initial password are provided during student registration for students or on-boarding for staff.","provision, registration, onboarding"
student_email,"What is the format for a campus email address?", "The campus email address format is CampusID@xmu.edu.my.","format, address, example"
student_email,"How do I sign in to my campus email?", "You can sign in to your campus email through https://www.office.com.","login, sign-in, office.com"
student_email,"Do I need to change my initial campus email password?", "Yes, users must change the provided initial password upon the first login.","password, initial, change"
student_email,"Should I log out after using my campus email?", "Yes, you should always log out of the application every time after using your campus email.","logout, security, session"
student_email,"How can I customize my campus email settings?", "After signing in, click on the gear icon in the top right corner of the page to customize your email and Office 365 settings, including language, location, time zone, and password.","settings, customize, gear icon"
student_email,"What applications can I access through my campus email login?", "Through your campus email login, you can access Outlook (Email), Calendar, Cloud Storage, Office Online, and other applications.","applications, services, outlook"
student_email,"How do I set the time zone for my Campus Email Outlook and Teams Calendar?", "To set the time zone, click the gear icon in the top right, go to ""Language and time zone,"" click ""Change your language,"" scroll to ""Region, Time zone,"" click the pencil icon to edit, find your time zone, and click ""Select.""","time zone, settings, calendar"
student_email,"Why is it important to check my campus email frequently?", "It is important to check your campus email frequently because the University uses it as a primary communication channel for announcements and information.","communication, announcements, frequently"
student_email,"What platform is used for campus email and other services?", "All users can access campus email using Microsoft 365 Outlook and other valuable Microsoft 365 cloud services.","Microsoft 365, Outlook, cloud services"
student_email,"What happens to my campus email account after I leave or graduate from the University?", "Your campus email address will be inactivated and eventually removed immediately once you have left or graduated from the University.","inactivation, graduation, removal"
student_email,"Should I archive my campus email data?", "Yes, you should archive your important email or data regularly while your campus email account is still active, as it will be removed upon leaving or graduating.","archive, data, backup"
student_email,"Is the University responsible for recovery of lost data from campus email or Microsoft 365 services?", "No, the University does not take any responsibility for the recovery of saved files or data loss on Microsoft 365 applications and services.","data loss, responsibility, recovery"
student_email,"How do I change my initial campus email password?", "To change your initial password, sign in through https://www.office.com, enter your email and initial password, key in your new password, click ""Confirm Password,"" then ""Update Password,"" and sign in again.","password, change, initial"
student_email,"How can I reset my campus email password if I forgot it while on campus?", "If on campus, you can visit the Library Circulation Counter (A3 2nd Floor) with your Campus ECard/IC/Passport, email it@xmu.edu.my with a softcopy of your ID and personal email, or raise an AskA request (app.xmu.edu.my/aska) with a softcopy of your ID.","forgot password, reset, on-campus"
student_email,"How can I reset my campus email password if I forgot it while off campus?", "If off campus, you can raise an AskA request (app.xmu.edu.my/aska) and attach a softcopy of your Campus ECard/IC/Passport for identity verification.","forgot password, reset, off-campus"
student_email,"What are the requirements for a strong campus email password?", "A strong password must have a minimum length of 8 characters and use multiple character sets, including uppercase and lowercase characters, numbers, or symbols.","password, strength, requirements"
student_email,"How do I archive my campus emails?", "You can archive your emails, contacts, and calendar items by exporting them to the Outlook app using a .pst file. Further step-by-step guides are available.","archive, emails, .pst file"
student_email,"What is a phishing email?", "A phishing email is a fraudulent communication designed to appear from a trusted source, usually via email, with the goal of stealing sensitive data or installing malware.","phishing, scam, security"
student_email,"How do phishing attacks work?", "Phishing attacks work by sending fraudulent emails that appear to be from trusted senders (like the university), coaxing victims into providing confidential information on scam websites or downloading malware.","phishing, mechanism, scam"
student_email,"What are common indicators of a phishing email?", "Phishing emails often have an aggressive tone, claim immediate action is needed to avoid repercussions, or use emotions like fear, curiosity, urgency, and greed to compel recipients.","phishing, indicators, warning"
student_email,"How can I protect myself from phishing emails?", "To protect yourself, avoid sending private information via email, do not click suspicious links or unexpected attachments, check for ""https://"" and a lock icon before entering private data, use an updated anti-virus program, and change your password if compromised.","phishing, protection, security"
student_email,"What should I do if I suspect an email is a phishing attempt?", "If you suspect an email is a phishing attempt, forward it to it@xmu.edu.my for checking, and then delete the message from your inbox.","phishing, report, suspicious"
