module,question,answer,keywords
xmum_handbook_ocr,"What is the full name of the university?","The full name of the university is Xiamen University Malaysia (XMUM).","university, name, XMUM"
xmum_handbook_ocr,"What is the motto of Xiamen University Malaysia (XMUM)?","The motto of XMUM is ""Pursuing Excellence, Striving For Perfection"".","XMUM, motto, excellence, perfection"
xmum_handbook_ocr,"What is Xiamen University Malaysia's (XMUM) vision?","XMUM aspires to become a university with a distinct global outlook, featuring first-class teaching and research, and embracing cultural diversity.","XMUM, vision, global outlook"
xmum_handbook_ocr,"What is Xiamen University Malaysia's (XMUM) mission?","To nurture young talents with dignity and wisdom, turning them into fine citizens of the region who will contribute to the prosperity of the people and social progress of Malaysia, China and Southeast Asia.","XMUM, mission, nurture, talents"
xmum_handbook_ocr,"What are the registration and orientation dates for the February Semester 2025?","Registration Days: 7 & 8 Feb 2025. Orientation Day: 9 Feb 2025.","academic calendar, February, 2025"
xmum_handbook_ocr,"When is the Examination Week for the February Semester 2025?","The Examination Week for the February Semester 2025 is from 17 - 24 Mar 2025.","examination, February, 2025"
xmum_handbook_ocr,"When is the Semester Break after the February Semester 2025?","The Semester Break after the February Semester 2025 is from 22 - 27 Mar 2025.","semester break, February, 2025"
xmum_handbook_ocr,"What are the registration and orientation dates for the April Semester 2025?","Registration Days: 28 & 29 Mar 2025. Orientation Day: 30 Mar 2025.","academic calendar, April, 2025"
xmum_handbook_ocr,"When is the Revision Week for the April Semester 2025?","The Revision Week for the April Semester 2025 is from 14 - 20 Jul 2025.","revision, April, 2025"
xmum_handbook_ocr,"When is the Examination Week for the April Semester 2025?","The Examination Week for the April Semester 2025 is from 21 Jul - 1 Aug 2025.","examination, April, 2025"
xmum_handbook_ocr,"When is the Semester Break after the April Semester 2025?","The Semester Break after the April Semester 2025 is from 2 Aug - 18 Sep 2025.","semester break, April, 2025"
xmum_handbook_ocr,"What are the registration and orientation dates for the September Semester 2025?","Registration Days: 19 & 20 Sep 2025. Orientation Day: 21 Sep 2025.","academic calendar, September, 2025"
xmum_handbook_ocr,"When is the Revision Week for the September Semester 2025?","The Revision Week for the September Semester 2025 is from 5 - 11 Jan 2026.","revision, September, 2025"
xmum_handbook_ocr,"When is the Examination Week for the September Semester 2025?","The Examination Week for the September Semester 2025 is from 12 - 23 Jan 2026.","examination, September, 2025"
xmum_handbook_ocr,"When is the Semester Break after the September Semester 2025?","The Semester Break after the September Semester 2025 is from 24 Jan - 19 Feb 2026.","semester break, September, 2025"
xmum_handbook_ocr,"What are the registration and orientation dates for the February Semester 2026?","Registration Days: 20 & 21 Feb 2026. Orientation Day: 22 Feb 2026.","academic calendar, February, 2026"
xmum_handbook_ocr,"When is the Examination Week for the February Semester 2026?","The Examination Week for the February Semester 2026 is from 30 Mar - 3 Apr 2026.","examination, February, 2026"
xmum_handbook_ocr,"What are the registration and orientation dates for the April Semester 2026?","Registration Days: 3 & 4 Apr 2026. Orientation Day: 5 Apr 2026.","academic calendar, April, 2026"
xmum_handbook_ocr,"When is the Revision Week for the April Semester 2026?","The Revision Week for the April Semester 2026 is from 13 - 19 Jul 2026.","revision, April, 2026"
xmum_handbook_ocr,"When is the Examination Week for the April Semester 2026?","The Examination Week for the April Semester 2026 is from 20 - 31 Jul 2026.","examination, April, 2026"
xmum_handbook_ocr,"When is the Semester Break after the April Semester 2026?","The Semester Break after the April Semester 2026 is from 1 Aug - 24 Sep 2026.","semester break, April, 2026"
xmum_handbook_ocr,"What are the registration and orientation dates for the September Semester 2026?","Registration Days: 25 & 26 Sep 2026. Orientation Day: 27 Sep 2026.","academic calendar, September, 2026"
xmum_handbook_ocr,"When is the Revision Week for the September Semester 2026?","The Revision Week for the September Semester 2026 is from 4 - 10 Jan 2027.","revision, September, 2026"
xmum_handbook_ocr,"When is the Examination Week for the September Semester 2026?","The Examination Week for the September Semester 2026 is from 11 - 21 Jan 2027.","examination, September, 2026"
xmum_handbook_ocr,"When is the Semester Break after the September Semester 2026?","The Semester Break after the September Semester 2026 is from 23 Jan - 11 Feb 2027.","semester break, September, 2026"
