module,question,answer,keywords
library,"What book services are available at Xiamen University Malaysia Library?","The library offers Loan & Return, Fines & Report Lost, Purchase Request, and Document Delivery services.","book, services, loan, return"
library,"What learning services are provided by the Xiamen University Malaysia Library?","Learning services include Moodle, Turnitin, Computers, Printing, and Scholarly Work support.","learning, services, Moodle, printing"
library,"What e-resources can be accessed through the Xiamen University Malaysia Library?","Users can access Library E-Resources, OPAC, E-Books, and E-Journals.","e-resources, OPAC, e-books, e-journals"
library,"What is the OPAC system and what are its functions?","The OPAC (Online Public Access Catalog) system allows patrons to search diverse book collections (course reserves, reference, general reading), access account information, check borrowed books, and view fines.","OPAC, catalog, search, books"
library,"What are the Xiamen University Malaysia Library's opening hours during the semester?","During the semester (from April 6, 2026 onwards), the library is open Monday - Friday from 09:00 - 22:00, and Saturday - Sunday from 09:00 - 17:00.","opening hours, semester, schedule, library"
library,"What are the Xiamen University Malaysia Library's opening hours during semester breaks?","During semester breaks, the library is open Monday - Friday from 09:00 - 17:00 and is closed on Saturday - Sunday.","semester break, hours, closed, library"
library,"How do public holidays affect the library's opening hours during the semester?","On some public holidays like Eid al-Adha or Wesak Day (May 27, May 31, June 2, 2026), the library is open from 09:00 - 17:00. On others, like Agong's Birthday (June 1, 2026), it is closed.","public holidays, hours, closed, open"
library,"Where can I find information about the Makerspace at Xiamen University Malaysia Library?","Information is available regarding About Makerspace, How to Apply, Safety Guidelines, Rules and Regulations, and the Makerspace Calendar.","Makerspace, apply, guidelines, rules"
library,"What types of physical spaces are available at the Xiamen University Malaysia Library?","The library offers various spaces including a Makerspace, Instruction Room, and a Mini Cinema (with 3D).","spaces, cinema, instruction, Makerspace"
library,"How can users stay updated on changes to the library's operating hours?","Operating hours are subject to change; users should refer to the latest announcements on the library website or contact librarian@xmu.edu.my.","hours, changes, contact, website"
