module,question,answer,keywords
mba_student,What is the motto of Xiamen University Malaysia (XMUM)?,"The motto of Xiamen University Malaysia (XMUM) is ""Pursuing Excellence, Striving for Perfection"".","motto, university, XMUM, excellence"
mba_student,What is the vision of Xiamen University Malaysia (XMUM)?,"XMUM aspires to become a university with a distinct global outlook, featuring first-class teaching and research, and embracing cultural diversity.","vision, university, global, research"
mba_student,What is the mission of Xiamen University Malaysia (XMUM)?,"The mission is to nurture young talents with dignity and wisdom, turning them into fine citizens of the region who will contribute to the prosperity of the people and social progress of Malaysia, China and Southeast Asia.","mission, university, talents, citizens"
mba_student,Which academic programs do the XMUM Academic Guide and Regulations apply to?,"These academic regulations apply to MBA programmes offered by Xiamen University Malaysia leading towards the conferment of Master’s Degree, and other academic matters related thereto.","academic regulations, MBA, Master's Degree, programmes"
mba_student,What are the general responsibilities of students at Xiamen University Malaysia?,"Students have the responsibility to abide by all the rules and regulations, read and understand the Academic Guide and Regulations handbook, familiarize themselves with MBA programme specifics, fulfill academic requirements, complete course registration, check university communications, pay tuition fees, attend activities, adhere to appointments, and seek advice when needed.","student responsibility, rules, regulations, academic"
mba_student,What is the minimum CGPA required for graduation from a Master's Degree programme?,"The minimum CGPA for graduation of a Master’s Degree programme is 3.00 from a maximum of 4.00.","CGPA, graduation, Master's Degree, minimum"
mba_student,How is the academic year structured at XMUM?,"XMUM has implemented a conventional system where each academic year is divided into 3 semesters: January, May, and September.","academic year, semesters, schedule, system"
mba_student,How long is each semester at XMUM?,"Each semester spans 12 weeks of classes, one (1) week of study week, and one week of final assessment.","semester duration, classes, study week, assessment"
mba_student,What are the conditions for applying for credit transfer at XMUM?,"Credit transfer may be granted if courses are relevant (minimum 80% content covered), equivalent to University courses with a grade of at least B or 65%, the maximum number of credits transferred is not more than 12, and courses were taken from a similar level program within 5 years from the transcript date.","credit transfer, eligibility, conditions, courses"
mba_student,What is the deadline for submitting a credit transfer application?,"The application for credit transfer must be submitted TWO (2) weeks before the start of the first semester.","credit transfer, application, deadline, semester"
mba_student,What are the entry requirements for the Master of Business Administration programme?,"Applicants need a recognized Bachelor’s degree in related fields with a minimum CGPA of 2.75, or a CGPA below 2.75 but not lower than 2.00 subject to internal assessment. Non-related fields require a minimum CGPA of 2.00 with relevant working experience or passing bridging courses. Other equivalent qualifications recognized by the Malaysia Government are also accepted.","MBA admission, entry requirements, Bachelor's degree, CGPA"
mba_student,What happens if a student fails to register within the stipulated timeframe after receiving an admission offer?,"If students fail to register within the stipulated time, they are deemed to have declined the admission offer. However, they may be allowed to register within 2 weeks after the deadline with plausible reasons and supporting evidence.","admission offer, registration, deadline, late registration"
mba_student,What is the official communication channel between the University and students?,"The university email will be the official communication channel between the University and students. Students shall use their university email account when communicating with the University.
mba_student,"What actions constitute academic misconduct related to research data and publications?","A student commits academic misconduct by forcing others to be co-researchers or co-authors without contribution, extracting and using others' academic data without acknowledgement, using collaborative research data for personal research or publication without consent, transcribing and claiming others' ideas or creations as their own, translating and presenting translations as original work, or modifying and presenting others' ideas as their own without due reference.","academic misconduct, research data, plagiarism, co-authorship, intellectual property"
mba_student,"What is considered fabrication of research data?","Fabrication of research data includes the invention or forgery of research data recordings or citations, and reporting them in writing in a thesis or publications.","academic misconduct, research data, fabrication, forgery, thesis"
mba_student,"What is considered falsification of research data?","Falsification of research data includes the alteration/modification, selective omission, or misrepresentation of research data or citations, and reporting them in writing in a thesis or publications.","academic misconduct, research data, falsification, misrepresentation, thesis"
mba_student,"What is the penalty for cheating in an assessment?","If proven guilty of cheating in an assessment, a student will be deemed to have failed the assessment. For a final assessment, the student will receive an 'F' grade and must retake/repeat the course.","cheating, assessment, penalty, failure, academic misconduct"
mba_student,"What actions are considered cheating in an assessment?","Impersonating someone or having someone else complete part or all of your work will be considered cheating in an assessment.","cheating, assessment, impersonation, academic misconduct"
mba_student,"What is the penalty for plagiarism or collusion in coursework?","Any form of academic misconduct, including plagiarism and collusion, will result in a penalty of receiving a zero mark for the entire assignment. If collusion involves more than one person, both the student and their colluding partner(s) will receive the same penalty.","plagiarism, collusion, coursework, penalty, zero mark"
mba_student,"What is considered plagiarism and collusion in coursework?","Coursework submitted for assessment must be the result of students' own effort, avoiding materials generated by AI tools. Copying work of another person without proper acknowledgement or collaborating with others in preparing and writing work are considered plagiarism and/or collusion.","plagiarism, collusion, coursework, AI tools, academic integrity"
mba_student,"What is the consequence of violating the law that results in criminal liability?","Violations of law resulting in criminal liability will be constituted as academic misconduct.","law violation, criminal liability, academic misconduct"
mba_student,"What is the process for appealing a final assessment result?","Students can appeal final assessment results by submitting a request to the Office of MBA Centre within the first week of a new semester. The appeal involves a re-marking of the answer script.","appeal, final assessment, re-marking, deadline, MBA Centre"
mba_student,"When must appeals for reviewing final assessment results be submitted?","All appeals for reviewing final assessment results must be submitted to the Office of MBA Centre within the first week of a new semester.","appeal, final assessment, deadline, MBA Centre"
mba_student,"Are backdated appeals for final assessment results accepted?","No, backdated appeals for final assessment results will not be accepted.","appeal, final assessment, deadline"
mba_student,"What types of appeals are not allowed regarding final assessment results?","An appeal that questions the academic judgment of examiners will not be allowed.","appeal, final assessment, academic judgment, examiners"
mba_student,"Can a third party submit an appeal on behalf of a student?","A student may submit an appeal only on their own behalf. An appeal submitted by a third party will not be accepted unless it includes written authorization from the candidate.","appeal, third party, authorization"
mba_student,"For which types of assessments can students appeal?","Appeals are only possible for courses with a final assessment. Marks obtained in continuous assessments (e.g., quizzes, assignments) will not be entertained.","appeal, final assessment, continuous assessment"
mba_student,"Can marks be downgraded as a result of an appeal?","Yes, there may be instances where the second examiner may downgrade the marks if it is proven that the marks had been incorrectly given.","appeal, marks, downgrade, re-marking"
mba_student,"What is the procedure for applying for a review of final assessment marks and grades?","Students must complete the 'Student Appeal Form (MF005)' available at the Office of MBA Centre, submit it to the Department of Finance for invoicing an appeal fee of RM50.00 per course, pay the fee at the Office of Finance, and then submit the application form and payment receipt to the Office of MBA Centre.","appeal, procedure, form, fee, MBA Centre"
mba_student,"What is the fee for appealing a final assessment result per course?","An appeal fee of RM50.00 will be charged for each course.","appeal, fee, final assessment"
mba_student,"Where can students obtain the 'Student Appeal Form (MF005)'?","The 'Student Appeal Form (MF005)' is available at the Office of MBA Centre.","appeal, form, MBA Centre"
mba_student,"Where must the appeal fee be paid?","All appeal fees must be paid by the student at the Office of Finance.","appeal, fee, payment, Finance Office"
