scholarship,"What types of scholarships and study grants does Xiamen University Malaysia (XMUM) offer for Academic Year 2026?","XMUM offers Merit Scholarships based on academic achievements and study grants for students with siblings studying at XMUM or who are teachers' children. Scholarships are also available for SPM students using their trial results.","merit, study grants, academic year"
scholarship,"How can SPM students apply for scholarships at XMUM for Academic Year 2026?","SPM students can apply for scholarships using their SPM Trial Results for Academic Year 2026.","SPM, trial results, application"
scholarship,"What are the Merit Scholarship percentages for SPM / O-Level students for Foundation Programmes?","Merit Scholarship percentages for SPM / O-Level students for Foundation Programmes range from 5% for 1 Grade A, up to 60% for 7 Grade As. Grade A includes A+, A, and A-.","SPM, O-Level, foundation, grades"
scholarship,"What are the Merit Scholarship percentages for STPM / A-Level students for Undergraduate Programmes?","Merit Scholarship percentages for STPM / A-Level students for Undergraduate Programmes range from 25% for 1 Grade A, up to 100% for 4 Grade As. Grade A includes A+, A, and A-.","STPM, A-Level, undergraduate, grades"
scholarship,"What are the eligibility criteria for the Merit Scholarship for undergraduate programmes based on SACE / AUSMAT / NEW HSC results?","For Malaysian applicants, eligibility is: ATAR 90 for 25% scholarship, ATAR 92 for 50%, ATAR 96 for 75%, and ATAR 98 for 100% scholarship.","undergraduate, ATAR, SACE, AUSMAT"
scholarship,"What types of study grants are available and what are their percentages?","XMUM offers the Teacher's Children grant (10%), Sibling grant (15%), and Bumiputera & Indian Community (BIC) grant (20%).","study grants, teachers, siblings, BIC"
scholarship,"Can a student apply for both a scholarship and a study grant?","No, applicants are only allowed to apply for either the scholarship or the study grant, whichever offers a higher percentage.","application, multiple, choice, higher"
scholarship,"What is the renewal policy for an undergraduate scholarship of 80% to 100%?","To renew an undergraduate scholarship of 80% to 100%, students must achieve an academic standing in the Top 25% among students of the same academic programme and same intake.","renewal, policy, undergraduate, top 25%"
scholarship,"What are the renewal criteria for the Teacher's Children, Sibling, and Bumiputera & Indian Community (BIC) study grants?","All Teacher's Children, Sibling, and Bumiputera & Indian Community (BIC) study grants require a minimum CGPA of 2.00 out of 4.00 at the end of each academic year for renewal.","study grants, renewal, CGPA, minimum"
scholarship,"Who should international students contact regarding scholarships?","International students seeking information on scholarships should contact the International Student Recruitment Office.","international, contact, office, scholarships"
scholarship,"What are the XMUM Progression Scholarship criteria for undergraduate programmes for XMUM Foundation students?","For Malaysian students from XMUM foundation programmes, a CGPA ≥ 3.00 grants 25%, CGPA ≥ 3.30 grants 50%, and CGPA ≥ 3.50 grants 100% scholarship.","progression, XMUM, foundation, CGPA"
