module,question,answer,keywords
admission_faq,"What is the background of XMUM?","Upon the invitation of the Malaysian Ministry of Higher Education, Xiamen University (XMU) accepted the offer and thus, XMUM was established. We began in earnest to build our first offshore campus in Malaysia and became the pioneer university from China to establish a branch campus in Malaysia.","establishment, history, pioneer, China"
admission_faq,"What is the main focus of XMUM?","Xiamen University Malaysia aspires to become a university with a distinct global outlook, featuring first-class teaching and research, and embracing cultural diversity. It is committed to nurturing young talents with dignity and wisdom, helping them become responsible, steadfast members of society who will be able to contribute to the people, as well as to the social progress of Malaysia, China and Southeast Asia.","mission, vision, global, diversity"
admission_faq,"What is the motto of XMUM?","The motto of XMUM is ""Pursuing Excellence, Striving for Perfection"".","motto, excellence, perfection"
admission_faq,"How is XMUM’s parent university –XMU ranked globally?","XMU, founded in 1921 by Mr. Tan Kah Kee, was the first Chinese higher educational institution established by an overseas Chinese. According to the “2025–2026 Best Global Universities Rankings,” XMU is ranked 189th globally.","parent university, ranking, XMU, global"
admission_faq,"Where is XMUM located?","XMUM is located at Jalan Sunsuria, Bandar Sunsuria, Sepang, only a 5-minute drive from ERL Salak Tinggi, a 10-minute drive from Kuala Lumpur International Airport, and a 15-minute drive from the Government Administrative Center - Putrajaya.","location, address, Sepang, airport"
admission_faq,"How is the campus of XMUM?","XMUM has a purpose-built campus occupying an area of 150 acres with an estimated total investment of RM 1.3 billion. The maximum capacity of the campus is 10,000 students.","campus, size, investment, capacity"
admission_faq,"What are the facilities available to students?","XMUM is equipped with state-of-the-art facilities, such as multimedia lecture halls, seminar rooms, tutorial rooms, multi-purpose student activity center with Olympic-sized swimming pool, gym, library, and labs.","facilities, campus, amenities, students"
admission_faq,"What are the programmes offered? What are the most popular programmes of XMUM?","Each programme is endowed with its own merits and students have the liberty to choose the programmes that piques their interests.","programmes, courses, offerings"
admission_faq,"How many semesters are there in each academic year?","There are three semesters per academic year for all programmes.","semesters, academic year, duration"
admission_faq,"What is the medium of instruction?","Except for some Chinese Studies and Traditional Chinese Medicine courses conducted in Chinese, all the other programmes will be delivered in English.","language, instruction, English, Chinese"
admission_faq,"Where are the teaching faculty from?","About 30% of our teaching faculty are from Xiamen University in China, while the rest are recruited from around the globe. In addition, 80% of our academic staff hold doctoral degrees.","faculty, staff, origin, qualifications"
admission_faq,"Are the programmes at XMUM recognised internationally?","Yes, all the programmes offered are internationally recognised, with dual approval from both the Malaysian and Chinese governments.","recognition, international, accreditation"
admission_faq,"Are the foundation programmes of other institutions recognised by XMUM?","Yes, we recognise foundation programmes from other institutions that are accredited by MOHE Malaysia. Admission, however, is subject to a stringent internal evaluation process.","foundation, recognition, transfer, MOHE"
admission_faq,"What do students need to do if they want to transfer credits of their previous studies?","Students need to complete the External Credit Transfer Application Form, provide transcripts and detailed syllabi of their previous studies for us to make assessment. Only when the similarity of the two courses reaches 80% can credit transfer be considered. In such cases, students may be exempted from qualified courses and receive the corresponding fee waiver. The application for credit transfer will only be processed after the students have been admitted to XMUM.","credit transfer, application, transcripts, syllabi"
admission_faq,"How long does it take to complete a degree?","The duration for bachelor degree programmes of arts, management and economics is three years while it takes four years to complete the engineering and science degree progammes. The traditional Chinese medicine programme is 5-year in length.","degree duration, length, bachelor, programmes"
admission_faq,"What is the average class size?","About 20 - 40 students per class.","class size, students, learning"
admission_faq,"How many credit hours do I need to complete for graduation?","The minimum credits for graduation vary for different programmes. Only when a student fulfils the minimum credits required and attains at least a CGPA of 2.0 (for foundation and undergraduate programmes), can he or she be conferred a degree.","graduation, credits, CGPA, requirements"
