module,question,answer,keywords
wifi_network,"Are campus buildings fully covered by wireless network signal?","Yes, all campus building areas are fully covered by the campus wireless network signal.","coverage, campus, signal, wireless"
wifi_network,"How do users access the campus WIFI network?","Users can access the WIFI network through the University’s Central Authentication System (CAS) and obtain an IP address and configuration setting automatically via DHCP.","access, CAS, DHCP, authentication"
wifi_network,"When was the wireless network enhancement implemented for students?","The wireless network enhancement for Student WIFI SSIDs was implemented on 27th March 2026.","enhancement, student, date, implementation"
wifi_network,"What are the WIFI SSIDs for students?","The WIFI SSIDs for students are 'Student-5G' or 'Student'.","student, SSID, name, identification"
wifi_network,"How do students log in to the campus WIFI?","Students log in by entering their Campus ID and password on the redirected login screen/page. Their device should remain connected for the duration of the session once logged in.","student, login, authentication, password"
wifi_network,"What are the WIFI SSIDs for staff and how is authentication handled?","The WIFI SSIDs for staff are 'Staff-5G' or 'Staff'. The password will be advised by the IT Department. Currently, user authentication is not required, but it will be imposed in a later phase.","staff, SSID, password, authentication"
wifi_network,"What is the WIFI SSID for the International Academic Exchange Centre and how do users get the password?","The WIFI SSID for the International Academic Exchange Centre is 'XMU-IAEC'. The password will be advised by IAEC staff.","IAEC, SSID, password, access"
wifi_network,"Is it allowed to use a personal wireless router on campus?","If you would like to use your own wireless router, you must seek approval from the IT Department.","router, personal, approval, IT"
wifi_network,"What are the restrictions for naming personal WIFI SSIDs on campus?","The WIFI name (SSID) for personal use cannot begin with 'XMU' and cannot use the same SSID names as Guest, Staff, Student, etc.","personal, SSID, restrictions, naming"
wifi_network,"Is internet access provided by the university free of charge?","Yes, internet access provided by the University is currently free of charge.","internet, cost, free, university"
wifi_network,"How can users get assistance with WIFI issues?","Users can visit the IT Office A3-103 (1F) during working hours, email IT at it@xmu.edu.my, or raise an 'AskA' request for further assistance.","support, contact, IT, assistance"
