module,question,answer,keywords
career_services,"What is the primary role of the Career Services Office (CSO) at Xiamen University Malaysia?","The Career Services Office (CSO) supports students and graduates in navigating the world of careers, turning aspirations into action, and potential into purpose.","career, support, students, graduates"
career_services,"Who does the Career Services Office (CSO) provide support to?","The Career Services Office (CSO) provides guidance and support to students and graduates of Xiamen University Malaysia (XMUM).","students, graduates, support, XMUM"
career_services,"What kind of assistance does Career Coaching offer?","Career Coaching offers personalized one-on-one sessions to help students discover strengths, clarify goals, and explore their best-fit career path with clarity and confidence.","coaching, strengths, goals, path"
career_services,"What topics are covered in the workshops offered by the Career Services Office?","Workshops cover practical skills such as crafting standout resumes, mastering interviews, and personal branding, designed to equip students for success.","workshops, resumes, interviews, branding"
career_services,"How does the Career Services Office connect students with employers?","The Career Services Office organizes signature campus career fairs and on-campus recruitment events to connect students with recruiters and explore industries.","career fairs, employers, recruitment, opportunities"
career_services,"What support is available for internships and job placements?","The Career Services Office leverages its strong employer network to help students land internships and job opportunities that align with their passion and potential.","internships, job placement, employer network, opportunities"
career_services,"What benefits do Industry Partnerships and MoUs provide to students?","Industry Partnerships and Memorandums of Understanding (MoUs) create long-term collaborations that offer students early access to job offers, mentorship, and real-world projects.","partnerships, MoUs, job offers, mentorship"
career_services,"What is the mission of the Career Services Office at Xiamen University Malaysia?","The mission of the Career Services Office is to empower XMUM students to confidently pursue their purpose and potential, with heart, skill, and the support they need to thrive.","mission, empower, purpose, potential"
career_services,"How can students make an appointment with the Career Services Office?","Students can make an appointment by sending an email to careerservices@xmu.edu.my before visiting.","contact, appointment, email, careerservices@xmu.edu.my"
career_services,"Where is the Career Services Office located?","The Career Services Office is located at B1-107.","location, office, B1-107, contact"
