module,sub_intent,question,answer,keywords
admin_directory,about_xmum,Who founded Xiamen University (XMU)?,Xiamen University (XMU) was founded by the Malayan Chinese Mr. Tan Kah Kee.,"founder,XMU,Tan Kah Kee"
admin_directory,about_xmum,Why was Xiamen University Malaysia (XMUM) established?,"Xiamen University Malaysia (XMUM) was established as a historic reciprocation, 93 years after XMU was founded, in the country where its founder, Mr. Tan Kah Kee, achieved great career success.","establishment,reciprocation,Tan Kah Kee,Malaysia"
admin_directory,about_xmum,What spirit does Xiamen University Malaysia (XMUM) pledge to uphold?,Xiamen University Malaysia (XMUM) pledges to uphold Mr. Tan Kah Kee's spirit of selfless dedication to the noble causes of education.,"Tan Kah Kee,spirit,education,dedication"
admin_directory,about_xmum,What is the financial status of Xiamen University Malaysia (XMUM)?,"Xiamen University Malaysia (XMUM) is a not-for-profit institution, and no surplus funds will be repatriated to China.","not-for-profit,financial,funds,China"
admin_directory,about_xmum,How will surplus funds at Xiamen University Malaysia (XMUM) be utilized?,Any surplus funds at Xiamen University Malaysia (XMUM) will be channelled back into research and scholarships for its students.,"surplus funds,research,scholarships"
admin_directory,about_xmum,What is the significance of Xiamen University Malaysia (XMUM)'s establishment for China-Malaysia relations?,The establishment of Xiamen University Malaysia (XMUM) sets new heights in educational cooperation and exchange between China and Malaysia.,"cooperation,China,Malaysia,education"
admin_directory,about_xmum,What is XMU's goal for its Malaysia campus (XMUM)?,"XMU aims to build its Malaysia campus (XMUM) into one of Malaysia's best universities, enriching the tertiary education landscape and producing high-quality, internationally competitive talents.","goal,best university,tertiary education,talents"
admin_directory,about_xmum,What is the vision of Xiamen University Malaysia (XMUM)?,"The vision of Xiamen University Malaysia (XMUM) is to become a university with a distinct global outlook, featuring first-class teaching and research, and embracing cultural diversity.","vision,global outlook,teaching,research"
admin_directory,about_xmum,What is the mission of Xiamen University Malaysia (XMUM)?,"The mission of Xiamen University Malaysia (XMUM) is to nurture young talents with dignity and wisdom, transforming them into fine citizens who will contribute to the prosperity and social progress of Malaysia, China, and Southeast Asia.","mission,nurture talents,citizens,social progress"
campus_life,general_info,Who is eligible to apply for student accommodation?,Student accommodation is available for active and full-time students. New students' room allocation is processed only after they have accepted an offer to study at Xiamen University Malaysia.,"eligibility,application,students,new"
campus_life,general_info,What is the deadline for submitting accommodation applications?,Completed application forms must be submitted to the Accommodation Office no less than two (2) weeks prior to the commencement of the new semester.,"application,deadline,submission,semester"
campus_life,general_info,What are the steps to apply for student accommodation?,"To apply, request the Residence Application Form and submit the completed form along with the residence application fee payment slip via email to studentaccommodation@xmu.edu.my.","application,steps,email,form"
campus_life,general_info,What is the residence application fee and is it refundable?,"The residence application fee is RM 100, and it is non-refundable. It must accompany the submission of the application form.","application,fee,non-refundable,RM100"
campus_life,general_info,Can students choose their preferred room type?,"Room types are options stated on the application form, but all applications are subject to room availability. The University reserves the right to assign any other available accommodation type.","room type,choice,availability,assignment"
campus_life,general_info,Is a deposit required for student accommodation and is it refundable?,"A refundable deposit of RM 500 is required upon check-in, along with one semester's rental.","deposit,refundable,RM500,check-in"
campus_life,general_info,What is the payment schedule for student accommodation rental?,Rental payment is made on a per-semester basis and is due within seven (7) working days from the commencement of the new semester.,"rental,payment,schedule,semester"
campus_life,general_info,"How are utility charges, specifically electricity, handled?","Students are billed monthly for electricity consumption. If a unit is occupied by more than one resident, the charges are borne equally among them.","utilities,electricity,billing,shared"
campus_life,general_info,How can a student terminate their accommodation tenancy?,Tenancy termination is allowed after a minimum stay of one (1) semester by giving the Accommodation Office at least one-month written notice via email to studentaccommodation@xmu.edu.my.,"tenancy,termination,notice,email"
campus_life,general_info,What facilities are provided in the student rooms?,"Rooms include a bed frame, mattress, wardrobe, study table and chair, air conditioning (electricity excluded), Wi-Fi, and an en-suite bathroom with a water heater.","room,facilities,amenities,provided"
campus_life,general_info,What general facilities are available to residents on campus?,"General facilities include a common pantry on each floor, a laundry room, 24/7 safety and security, canteens, and a Student Activity Centre with a gym and swimming pool.","general,facilities,campus,student"
campus_life,general_info,Where can I find the comprehensive accommodation rules and regulations?,"For full details, refer to the Xiamen University Malaysia Residences Management Rules and Regulations, available for download from the website.","rules,regulations,policies,download"
campus_life,general_info,What is the background of XMUM?,"Upon the invitation of the Malaysian Ministry of Higher Education, Xiamen University (XMU) accepted the offer and thus, XMUM was established. We began in earnest to build our first offshore campus in Malaysia and became the pioneer university from China to establish a branch campus in Malaysia.","establishment,history,pioneer,China"
